filename,main_object,food_type,drink_type,has_person,person_who,person_emotion,person_action,close_up,top_down,bright_colors,warm_tones,dark_moody,clean_background,packaged,text_overlay,price_discount,brand_logo,cta,multiple_items,brand,year,month,ctr,impressions,spend
ad_1000084181569778_img.png,person,dessert,none,True,man,positive,posing,False,False,True,False,False,False,True,True,False,True,False,False,SweetSpot,2024,6,3.48,12869,87.73
ad_1000574938308670_img.png,drink,none,alcohol,False,none,none,none,False,False,True,False,False,True,True,True,False,True,False,False,Pourly,2024,5,2.17,5381,66.89
ad_1000603661178813_img.png,person,snack,none,True,none,positive,none,False,False,True,True,False,True,True,True,False,True,False,False,Pourly,2024,5,3.16,13751,185.35
ad_1000696924800502_img.png,food,snack,none,False,none,none,none,True,False,True,False,False,False,True,True,False,True,False,True,SnackHub,2025,2,2.83,12682,132.6
ad_1000733311160879_img.png,food,snack,none,False,none,none,none,False,False,True,True,False,False,True,False,False,True,False,False,SnackHub,2025,8,3.07,68976,1022.02
ad_1000814214311900_img.png,drink,none,alcohol,False,none,none,none,True,False,True,False,False,True,True,True,False,True,True,True,Pourly,2024,8,3.16,12288,116.79
ad_1001963277592314_img.png,food,fast_food,none,False,none,none,none,False,False,True,True,False,True,False,True,False,True,True,True,SnackHub,2025,11,2.8,1949,19.75
ad_1002310914410743_img.png,food,main_dish,none,False,none,none,none,True,False,True,True,False,False,False,True,False,True,False,False,GreenPlate,2025,1,3.07,193592,2883.01
ad_1002321007661512_img.png,drink,none,alcohol,False,none,none,none,True,False,False,False,True,True,True,True,False,False,False,False,Pourly,2025,8,2.85,34781,254.44
ad_1002935847629192_img.png,food,main_dish,none,False,none,none,none,True,False,True,True,False,True,False,False,False,False,False,False,GreenPlate,2025,5,3.45,107188,1546.24
ad_1002954227567295_img.png,person,none,alcohol,True,multiple,positive,posing,False,False,True,True,False,True,False,True,False,True,True,False,Fizzly,2024,2,4.14,4199,22.79
ad_1003166637637510_img.png,food,main_dish,none,False,none,none,none,True,True,True,True,False,True,False,False,False,False,False,False,GreenPlate,2024,2,3.38,10701,101.27
ad_1003323638076034_img.png,person,healthy,none,True,woman,positive,posing,False,False,True,True,False,False,False,False,False,False,False,True,GreenPlate,2024,6,3.58,26223,149.47
ad_1005167540748176_img.png,drink,none,soda_juice,False,none,none,none,False,True,True,False,True,True,False,True,False,False,True,False,Fizzly,2025,11,3.05,22842,280.78
ad_1005969440553275_img.png,person,none,soda_juice,True,multiple,positive,none,False,False,True,True,False,True,False,True,True,True,True,True,Fizzly,2024,9,4.69,18159,201.28
ad_1007145270323283_img.png,drink,none,alcohol,False,none,none,none,False,False,True,False,False,True,True,True,False,True,True,True,Pourly,2025,1,2.49,1480,17.86
ad_1008863794117921_img.png,person,dessert,none,True,multiple,positive,eating,False,False,True,True,False,False,False,False,False,False,False,False,SweetSpot,2024,12,3.66,2410,21.07
ad_1009381517067000_img.png,food,fast_food,none,False,none,none,none,False,False,True,True,False,True,False,True,False,True,True,True,BurgerBee,2024,6,3.11,60932,529.79
ad_1010625573813964_img.png,food,healthy,none,False,none,none,none,False,False,True,False,False,False,False,True,False,True,False,False,GreenPlate,2025,9,2.44,72789,396.93
ad_1011807433278634_img.png,drink,none,soda_juice,False,none,none,none,False,False,True,True,False,False,True,False,False,True,False,True,Fizzly,2024,8,2.6,12008,102.06
ad_1012296193570558_img.png,drink,none,alcohol,False,none,none,none,False,False,True,True,False,True,True,True,False,True,True,True,Pourly,2024,11,2.96,53660,766.96
ad_1012515116641556_img.png,person,snack,none,True,none,positive,eating,False,False,True,True,False,False,True,True,False,True,False,True,SnackHub,2025,6,3.28,4801,42.21
ad_1013412939897237_img.png,food,main_dish,none,False,none,none,none,True,False,True,True,False,False,False,False,False,False,False,False,SweetSpot,2024,3,2.85,6036,80.36
ad_1014065326524009_img.png,drink,none,alcohol,False,none,none,none,True,False,True,False,False,True,True,True,True,True,True,False,Pourly,2025,8,4.44,4436,59.55
ad_1014211980287436_img.png,drink,none,soda_juice,True,none,none,none,True,False,True,True,False,False,True,True,False,True,True,False,BurgerBee,2024,9,4.62,5710,49.86
ad_1014753966428360_1_img.png,drink,none,water_energy,False,none,none,none,False,False,True,False,False,True,True,True,True,True,True,True,SweetSpot,2024,1,3.35,27520,311.52
ad_1016391499788545_img.png,food,dessert,none,False,none,none,none,False,False,True,True,False,True,True,False,False,True,False,True,GreenPlate,2025,12,3.27,5640,33.58
ad_1017031452680121_img.png,food,main_dish,none,False,none,none,none,True,True,True,False,False,True,False,False,False,False,False,False,GreenPlate,2025,9,3.11,125460,757.38
ad_1018060725909240_img.png,food,snack,none,False,none,none,none,False,False,True,False,False,True,True,True,False,True,False,True,SnackHub,2025,6,2.6,21164,116.12
ad_1018353092626557_1_img.png,drink,none,coffee_tea,False,none,none,none,False,False,True,True,False,True,True,True,True,True,True,True,SnackHub,2024,6,4.14,39518,427.2
